target,Predicted_classes,order,edges,mean_eccentr,mean_path_length,graph_energy,modularity,diameter,betw_centr,transitivity,spectral_radius,eigen_centr,deg_centr,mean_degree,min_cut,fiedler_value,normalized_fiedler_value,closeness_centr,deg_assort_coef,graph_name,Graph.Name,Captive,Interaction_type,Data_collection,Species,Data_duration_days,Class,Time_resolution_secs
aves-barn-swallow-contact-network,SF,17,53,2.941176471,1.727941176,30.52601977,0.119437522,4,0.093034474,0.47277937,7.407419963,0.412107703,0.297794118,6.235294118,1,0.735768791,0.450882511,0.037249519,-0.310346661,aves-barn-swallow-contact-network,aves-barn-swallow-contact-network,No,Physical_contact,logger,Hirundo_rustica,11,Aves,Very_fine
aves-barn-swallow-non-physical,Spatial,17,122,1.705882353,1.102941176,34.16645288,0.002956195,2,0.006499369,0.921686747,14.5826675,0.094488834,0.102941176,14.35294118,9,8.663042887,0.818365929,0.057247362,-0.152796855,aves-barn-swallow-non-physical,aves-barn-swallow-non-physical,No,Physical_contact,logger,Hirundo_rustica,11,Aves,Very_fine
aves-geese-female-foraging,SW,20,190,1,1,38,0,1,0,1,19,0,0,19,19,20,1.052631579,0.052631579,0.005736053,aves-geese-female-foraging,aves-geese-female-foraging,Yes,Foraging,survey_scan,Branta_leucopsis,15,Aves,Fine
aves-geese-male-foraging,SW,23,253,1,1,44,0,1,0,1,22,1.69E-16,0,22,22,23,1.045454545,0.045454545,0.005736053,aves-geese-male-foraging,aves-geese-male-foraging,Yes,Foraging,survey_scan,Branta_leucopsis,15,Aves,Fine
aves-hens-pecking-order,SW,32,496,1,1,62,0,1,0,1,31,1.18E-16,0,31,31,32,1.032258065,0.032258065,0.005736053,aves-hens-pecking-order,aves-hens-pecking-order,Yes,Dominance,direct_observation,Gallus_gallus,11,Aves,Very_fine
aves-songbird-social,SF,108,1026,4.351851852,2.254240222,278.9259501,0.367618337,6,0.105844737,0.558333025,28.65079013,0.694327722,0.345794393,19,1,0.682305769,0.097805219,0.004269265,-0.004511219,aves-songbird-social,aves-songbird-social,No,Social_projection_bipartite,RFID,Haemorhous_mexicanus,137,Aves,Very_fine
aves-sparrow-social-2009,Spatial,31,211,3.483870968,1.890322581,69.86610984,0.196278161,4,0.267968574,0.706401045,16.01858244,0.430690726,0.312903226,13.61290323,1,0.191884676,0.040741844,0.018532266,0.288600346,aves-sparrow-social-2009,aves-sparrow-social-2009,No,Group_membership,survey_scan,Zonotrichia_atricapilla,90,Aves,Focal_follow
aves-sparrow-social-2010,Spatial,40,305,2.475,1.646153846,99.49725057,0.209680193,3,0.078915409,0.598282443,17.98341129,0.46440164,0.352564103,15.25,3,2.870746119,0.401412425,0.015851701,-0.115917964,aves-sparrow-social-2010,aves-sparrow-social-2010,No,Group_membership,survey_scan,Zonotrichia_atricapilla,90,Aves,Focal_follow
aves-sparrow-social,SF,52,454,2.730769231,1.748868778,134.332383,0.202221079,3,0.052963525,0.596083886,21.55586577,0.503576135,0.343891403,17.46153846,3,1.979265701,0.318895132,0.011447039,-0.05617466,aves-sparrow-social,aves-sparrow-social,No,Group_membership,survey_scan,Zonotrichia_atricapilla,90,Aves,Focal_follow
aves-sparrowlyon-flock-season2,SF,46,348,2.847826087,1.75942029,113.0304872,0.230103878,4,0.064538518,0.582477535,18.7270501,0.508757184,0.352657005,15.13043478,1,0.967973819,0.355514567,0.012923379,-0.099807602,aves-sparrowlyon-flock-season2,aves-sparrowlyon-flock-season2,No,Group_membership,survey_scan,Zonotrichia_atricapilla,120,Aves,Focal_follow
aves-sparrowlyon-flock-season3,Spatial,27,163,2.518518519,1.606837607,59.02624761,0.198050359,3,0.073905464,0.691068814,13.75977692,0.382141938,0.227920228,12.07407407,4,2.731992661,0.301629707,0.024457957,0.065239439,aves-sparrowlyon-flock-season3,aves-sparrowlyon-flock-season3,No,Group_membership,survey_scan,Zonotrichia_atricapilla,120,Aves,Focal_follow
